code,title_it,slug,grande_gruppo,grande_gruppo_name_it,gruppo,classe,categoria,education_it,education_en,description,examples,istat_url,inapp_url
1.1.1.1.1,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,1-1-1-1-1-membri-di-organismi-di-governo-e-di-assemblee-nazionali-con-potest-leg,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.1,1.1.1.1,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità definiscono, discutono e approvano leggi, regolamenti e statuti validi sull'intero territorio nazionale, definiscono le politiche di governo individuando e allocando le risorse necessarie alla loro realizzazione.",membro del consiglio dei ministri; membro del senato; membro della camera dei deputati,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.1.1.1,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.1.1.1
1.1.1.1.2,Membri di autorità indipendenti con potestà regolamentare,1-1-1-1-2-membri-di-autorit-indipendenti-con-potest-regolamentare,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.1,1.1.1.1,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità definiscono, discutono e approvano atti di regolamentazione validi sull'intero territorio nazionale e destinati agli operatori di settori oggetto di regolazione e controllo",membro di autorità indipendente,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.1.1.2,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.1.1.2
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,1-1-1-2-0-membri-di-organismi-di-governo-e-di-assemblee-regionali-e-di-province-,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.1,1.1.1.2,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità applicano sul territorio leggi nazionali e, negli ambiti previsti dall'organizzazione dello Stato, definiscono, discutono e approvano leggi, regolamenti e statuti validi sul territorio regionale e delle Province autonome, definiscono le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.",membro del consiglio regionale; membro della giunta di provincia autonoma; membro della giunta regionale; membro di consiglio di provincia autonoma; presidente della giunta regionale; presidente di provincia autonoma,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.1.2.0,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.1.2.0
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana,1-1-1-3-0-membri-di-organismi-di-governo-e-di-assemblee-provinciali-con-potest-r,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.1,1.1.1.3,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità applicano sul territorio leggi nazionali e locali e, negli ambiti previsti dall'organizzazione dello Stato e della Regione di appartenenza, definiscono, discutono e approvano regolamenti e statuti validi sul territorio provinciale, definiscono le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.",membro del consiglio della città metropolitana; membro del consiglio provinciale; membro della conferenza della città metropolitana; presidente della giunta provinciale,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.1.3.0,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.1.3.0
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,1-1-1-4-0-membri-di-organismi-di-governo-e-di-assemblee-sub-provinciali-e-comuna,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.1,1.1.1.4,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità applicano sul territorio leggi nazionali e locali e, negli ambiti previsti dall'organizzazione dello Stato, della Regione e della Provincia di appartenenza, definiscono, discutono e approvano regolamenti e statuti validi sul territorio comunale o sub-provinciale, definiscono le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.",membro del consiglio comunale; membro della giunta comunale; presidente di comunità montana; sindaco,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.1.4.0,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.1.4.0
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",1-1-2-1-0-ambasciatori-ministri-plenipotenziari-ed-alti-dirigenti-della-carriera,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.2,1.1.2.1,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità agiscono per conto dello Stato e del governo e li rappresentano presso altri Stati e presso le organizzazioni internazionali, tutelano gli interessi nazionali e i diritti dei concittadini all'estero e, nei casi previsti dalla legge, garantiscono la vigilanza sulle attività di organismi nazionali operanti all'estero e svolgono funzioni amministrative sussidiarie.",ambasciatore; commissario consolare; consigliere di ambasciata; consigliere di legazione; consigliere per l' emigrazione e gli affari sociali; console; console generale; ministro plenipotenziario; vice ambasciatore,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.2.1.0,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.2.1.0
1.1.2.2.1,"Prefetti, vice prefetti e alti dirigenti della carriera prefettizia",1-1-2-2-1-prefetti-vice-prefetti-e-alti-dirigenti-della-carriera-prefettizia,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.2,1.1.2.2,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità assicurano e garantiscono sul territorio l'unitarietà e l'efficacia delle politiche di governo e dell'azione delle amministrazioni periferiche dello Stato, coordinando attività e funzioni di queste ultime con quelle delle amministrazioni locali; rappresentano il governo sul territorio.",commissario di governo; prefetto; vice prefetto; vice prefetto aggiunto,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.2.2.1,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.2.2.1
1.1.2.2.2,Responsabili della sicurezza pubblica,1-1-2-2-2-responsabili-della-sicurezza-pubblica,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.2,1.1.2.2,Laurea magistrale o superiore,Master's degree or higher,Le professioni classificate in questa unità sovrintendono alle attività degli organi di pubblica sicurezza e di protezione civile e adottano misure volte a garantire la sicurezza dei cittadini.,capo della polizia; capo dipartimento dell'amministrazione penitenziaria; comandante generale della guardia di finanza; dirigente generale dei vigili del fuoco; dirigente generale della pubblica sicurezza; dirigente superiore dei vigili del fuoco; dirigente superiore della polizia di stato; questore; ufficiale generale del corpo dei carabinieri; ufficiale generale della guardia di finanza,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.2.2.2,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.2.2.2
1.1.2.3.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici",1-1-2-3-1-direttori-generali-dipartimentali-ed-equiparati-delle-amministrazioni-,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.2,1.1.2.3,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità dirigono grandi strutture dell'amministrazione statale e locale e degli enti pubblici non economici, formulano proposte e pareri agli organi cui fanno riferimento, curano l'attuazione dei programmi e delle politiche adottando e definendo le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando poteri di spesa e attribuendo ai dirigenti subordinati le responsabilità di progetti nonché le risorse necessarie a realizzarli, verificandone e controllandone le attività rispetto agli obiettivi fissati e mantenendo la responsabilità della gestione e dei risultati raggiunti.",capo dipartimento nelle amministrazioni dello stato; direttore centrale di amministrazione pubblica; direttore di reparto nelle amministrazioni dello stato; direttore generale amministrativo di ente pubblico; direttore generale amministrativo nelle amministrazioni dello stato; direttore generale di ministero; dirigente generale nell'amministrazione pubblica; ispettore generale capo; ispettore generale superiore; segretario generale di camera di commercio; segretario generale di ministero,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.2.3.1,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.2.3.1
1.1.2.3.2,"Rettori di università, direttori di istituzioni dell'Alta Formazione e di enti di ricerca",1-1-2-3-2-rettori-di-universit-direttori-di-istituzioni-dell-alta-formazione-e-d,1,"LEGISLATORI, IMPRENDITORI E ALTA DIRIGENZA",1.1,1.1.2,1.1.2.3,Laurea magistrale o superiore,Master's degree or higher,"Le professioni classificate in questa unità dirigono università pubbliche e private, istituzioni dell'Alta Formazione Artistica, Musicale e Coreutica riconosciute, che rilasciano titoli di livello universitario ed enti di ricerca, formulano proposte e pareri agli organi cui fanno riferimento, curano l'attuazione dei programmi e delle politiche adottando e definendo le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando poteri di spesa e attribuendo ai dirigenti subordinati le responsabilità di progetti nonché le risorse necessarie a realizzarli, verificandone e controllandone le attività rispetto agli obiettivi fissati e mantenendo la responsabilità della gestione e dei risultati raggiunti.",direttore centrale di ente di ricerca; direttore di accademia di belle arti; direttore di conservatorio; direttore di istituto superiore di studi musicali; direttore generale di ente di ricerca; rettore di università,https://professioni.istat.it/sistemainformativoprofessioni/cp/scheda.php?id=1.1.2.3.2,https://www.inapp.gov.it/professioni/scopri-professioni/scheda/?keyword=1.1.2.3.2
